#{"t_start": 1684933564.297698, "env_id": "ALE/Assault-v5"}
r,l,t
231.0,639,7.998345
252.0,575,14.529024
336.0,536,20.531539
210.0,720,28.576985
315.0,482,33.994711
315.0,520,39.821381
378.0,866,49.54155
273.0,610,56.695853
126.0,354,60.704829
189.0,568,67.097147
315.0,688,74.868667
462.0,792,83.795101
210.0,624,90.824962
357.0,656,98.267189
210.0,584,104.881936
231.0,471,110.239517
294.0,519,116.085564
357.0,679,123.751425
168.0,439,128.705967
294.0,687,136.432593
336.0,648,143.707085
315.0,616,150.641668
231.0,536,156.654058
189.0,600,163.389258
252.0,449,168.505802
315.0,696,176.386123
189.0,552,182.684516
294.0,664,190.176814
294.0,610,197.090578
252.0,624,204.179992
210.0,632,211.371352
315.0,616,218.345007
315.0,611,225.475907
252.0,624,232.633144
504.0,688,240.439238
231.0,440,245.41396
189.0,386,249.804712
294.0,514,255.573238
168.0,482,261.046748
546.0,855,270.723446
336.0,744,279.183894
210.0,584,285.790534
336.0,610,292.705192
189.0,376,296.994305
294.0,503,302.682952
315.0,728,310.921468
168.0,439,315.891783
252.0,546,322.071739
231.0,450,327.1795
126.0,258,330.08627
357.0,728,338.302305
252.0,455,343.451445
252.0,616,350.4233
399.0,770,359.126146
231.0,609,366.060306
231.0,512,371.845599
294.0,664,379.378276
546.0,688,387.21054
189.0,607,394.076465
399.0,632,401.266995
315.0,600,408.04858
378.0,545,414.232466
399.0,642,421.476791
252.0,440,426.457836
294.0,640,433.720719
252.0,546,439.908561
378.0,648,447.284842
420.0,599,454.076525
420.0,672,461.6741
252.0,610,468.574509
273.0,464,473.83651
315.0,479,479.29509
441.0,663,486.785224
252.0,456,491.943151
210.0,672,499.600987
252.0,672,507.165569
252.0,471,512.445421
273.0,504,518.115647
294.0,480,523.525994
420.0,672,531.105267
336.0,615,538.032679
420.0,632,545.096253
294.0,656,552.437666
357.0,671,559.956343
189.0,519,565.797824
273.0,504,584.464726
147.0,328,591.931123
189.0,608,602.064809
420.0,663,613.115098
231.0,440,620.44737
336.0,503,628.830693
420.0,696,640.430507
273.0,440,647.75918
378.0,672,658.880784
210.0,663,669.931189
399.0,808,683.397361
357.0,672,694.598612
399.0,623,704.980708
294.0,616,715.247805
105.0,226,719.014483
252.0,528,727.814181
189.0,544,736.864384
378.0,688,748.331178
441.0,760,760.997116
357.0,664,772.064486
441.0,680,783.398068
189.0,600,793.398164
231.0,674,804.630516
126.0,226,808.397765
252.0,567,817.842668
252.0,354,823.747489
168.0,495,831.997182
378.0,551,841.220349
231.0,632,851.763487
378.0,656,862.696869
378.0,696,874.297371
189.0,600,884.297457
231.0,528,893.097225
252.0,639,903.746585
168.0,386,910.180322
378.0,608,920.296657
273.0,472,928.151403
315.0,544,937.213144
399.0,655,948.129644
399.0,664,959.197317
